,ERAIL Occurrence,model_type,LLM_Date,Date of occurrence,Date_Match,LLM_Time,Time of occurrence,Time_Match,LLM_Country,Country,Country_Match,LLM_AccidentType,Occurrence type,AccidentType_Match,LLM_RegulatoryBody,Reporting Body,RegulatoryBody_Match,LLM_ContributingFactor,"Direct cause description (including causal and contributing factors, excluding those of systemic nature)",ContributingFactors_Match,LLM_SystemicFactor,"Underlying and root causes description (i.e. systemic factors, if any)",SystemicFactors_Match
81,AT-0795,gemini-2.5-pro,21/01/2013,21/01/2013,Match,08:43,08:43,Match,Austria,Austria,Match,Collisions,Trains collision,Mismatch,Sicherheitsuntersuchungsstelle des Bundes (SUB),Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,"Other static staff factors, Reinforcement, Tools","Im Bereich der Weichen 41 und 42 im Bf Wien Hütteldorf kam es zu einer Störung der Gleisfreimeldeanlage (Rotausleuchtung). Bezugnehmend auf diese Störung wurde zwischen Bf Wien Hütteldorf und Bf Wien Penzing das fernmündliche Rückmelden gemäß den Bestimmungen der ÖBB DV V 3 eingeführt. Mit dem Einführen des fernmündlichen Rückmeldens war auch das Anbieten bzw. Annehmen der Züge erforderlich. Z 20595 wurde vom Fahrdienstleiter Bf Wien Hütteldorf dem Fahrdienstleiter Bf Wien Penzing angeboten und von diesem auch angenommen. Die Ausfahrt des Zuges im Bf Wien Hütteldorf erfolgte mit einer Zughilfsstraße und der Einschaltung des Ersatzsignals auf dem AS „H 106“. _x000D_
Durch den im Bf Wien Hütteldorf tätigen Fahrdienstleiter in Einschulung wurde auf dem Streckenblock ein Richtungswechsel in der Annahme durchgeführt, diesen für die Fahrt des Z 20592 aus Richtung Bf Wien Penzing zu speichern. Da die Fahrt des Z 20595 mit einer Zughilfsstraße und Ersatzsignal erfolgte, ging vom Bf Wien Hütteldorf kein „Vorblock“ ab, so dass der Richtungspfeil weiterhin gelbes/weißes Dauerlicht zeigte. Der Richtungswechsel erfolgte vor einer Besetzung des betreffenden Gleisabschnittes durch den in Richtung Bf Wien Penzing ausfahrenden Z 20595, so dass auf Grund des nicht deaktivierten Selbststellbetriebes im Bf Wien Penzing das AS „R 6“ für Z 20592 in Richtung des durch Z 20595 besetzten Streckengleises 1 Vo selbsttätig in Freistellung gelangte. 
A disruption of the track clear detection device (red signal) occured in the area of railway switches 41 and 42 at railway station Wien Hütteldorf. Due to this disruption, telephone reporting between railway station Wien Hütteldorf and railway station Wien Penzing was introduced, according to the provisions of regulation ÖBB DV V 3. With the introduction of telephone reporting, train order or acceptance were also required. Train Z 20595 was ordered by the train dispatcher of railway station Wien Hütteldorf to the train dispatcher of railway station Wien Penzing and accepted by the latter. The exit of the train at railway station Wien Hütteldorf was done with an auxiliary route and the activation of a substitute signal on the AS „H 106“. _x000D_
For the  train dispatcher working at railway station Wien Hütteldorf, a change of direction on the section block was undertaken with the acceptance, to save it for the journey of train Z 20592 coming from railway station Wien Penzing. Given the fact that that the journey of Z 20595 was done with an auxiliary route and a substitute signal, there was no ‘’pre-block‘‘ from railway station Wien Hütteldorf, so that the directional indicator continuously showed a yellow/white permanent light. The change of direction followed before train Z 20595 occupied the related track section by driving towards railway station Wien Penzing Z 20595. Therefore, on the basis of a non-activated automatic route calling at railway station Wien Penzing, the AS „R 6“ for train Z 20592 in direction of train Z 20595 which occupied the main track 1 Vo in a released position.",Mismatch,"Learning from accidents and incidents, Operational planning and control"," 
",Mismatch
82,AT-0795,gpt-4o-mini,21/01/2013,21/01/2013,Match,08:43,08:43,Match,Austria,Austria,Match,Collision of train with a train/rail vehicle,Trains collision,Mismatch,Oberste Eisenbahnbehörde,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Communication,"Im Bereich der Weichen 41 und 42 im Bf Wien Hütteldorf kam es zu einer Störung der Gleisfreimeldeanlage (Rotausleuchtung). Bezugnehmend auf diese Störung wurde zwischen Bf Wien Hütteldorf und Bf Wien Penzing das fernmündliche Rückmelden gemäß den Bestimmungen der ÖBB DV V 3 eingeführt. Mit dem Einführen des fernmündlichen Rückmeldens war auch das Anbieten bzw. Annehmen der Züge erforderlich. Z 20595 wurde vom Fahrdienstleiter Bf Wien Hütteldorf dem Fahrdienstleiter Bf Wien Penzing angeboten und von diesem auch angenommen. Die Ausfahrt des Zuges im Bf Wien Hütteldorf erfolgte mit einer Zughilfsstraße und der Einschaltung des Ersatzsignals auf dem AS „H 106“. _x000D_
Durch den im Bf Wien Hütteldorf tätigen Fahrdienstleiter in Einschulung wurde auf dem Streckenblock ein Richtungswechsel in der Annahme durchgeführt, diesen für die Fahrt des Z 20592 aus Richtung Bf Wien Penzing zu speichern. Da die Fahrt des Z 20595 mit einer Zughilfsstraße und Ersatzsignal erfolgte, ging vom Bf Wien Hütteldorf kein „Vorblock“ ab, so dass der Richtungspfeil weiterhin gelbes/weißes Dauerlicht zeigte. Der Richtungswechsel erfolgte vor einer Besetzung des betreffenden Gleisabschnittes durch den in Richtung Bf Wien Penzing ausfahrenden Z 20595, so dass auf Grund des nicht deaktivierten Selbststellbetriebes im Bf Wien Penzing das AS „R 6“ für Z 20592 in Richtung des durch Z 20595 besetzten Streckengleises 1 Vo selbsttätig in Freistellung gelangte. 
A disruption of the track clear detection device (red signal) occured in the area of railway switches 41 and 42 at railway station Wien Hütteldorf. Due to this disruption, telephone reporting between railway station Wien Hütteldorf and railway station Wien Penzing was introduced, according to the provisions of regulation ÖBB DV V 3. With the introduction of telephone reporting, train order or acceptance were also required. Train Z 20595 was ordered by the train dispatcher of railway station Wien Hütteldorf to the train dispatcher of railway station Wien Penzing and accepted by the latter. The exit of the train at railway station Wien Hütteldorf was done with an auxiliary route and the activation of a substitute signal on the AS „H 106“. _x000D_
For the  train dispatcher working at railway station Wien Hütteldorf, a change of direction on the section block was undertaken with the acceptance, to save it for the journey of train Z 20592 coming from railway station Wien Penzing. Given the fact that that the journey of Z 20595 was done with an auxiliary route and a substitute signal, there was no ‘’pre-block‘‘ from railway station Wien Hütteldorf, so that the directional indicator continuously showed a yellow/white permanent light. The change of direction followed before train Z 20595 occupied the related track section by driving towards railway station Wien Penzing Z 20595. Therefore, on the basis of a non-activated automatic route calling at railway station Wien Penzing, the AS „R 6“ for train Z 20592 in direction of train Z 20595 which occupied the main track 1 Vo in a released position.",Mismatch,Safety Policy," 
",Mismatch
83,AT-0795,gpt-4o-mini,21/01/2013,21/01/2013,Match,08:43,08:43,Match,Austria,Austria,Match,Collision of train with a train/rail vehicle,Trains collision,Mismatch,Oberste Eisenbahnbehörde im bmvit,Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene,Mismatch,Instructions,"Im Bereich der Weichen 41 und 42 im Bf Wien Hütteldorf kam es zu einer Störung der Gleisfreimeldeanlage (Rotausleuchtung). Bezugnehmend auf diese Störung wurde zwischen Bf Wien Hütteldorf und Bf Wien Penzing das fernmündliche Rückmelden gemäß den Bestimmungen der ÖBB DV V 3 eingeführt. Mit dem Einführen des fernmündlichen Rückmeldens war auch das Anbieten bzw. Annehmen der Züge erforderlich. Z 20595 wurde vom Fahrdienstleiter Bf Wien Hütteldorf dem Fahrdienstleiter Bf Wien Penzing angeboten und von diesem auch angenommen. Die Ausfahrt des Zuges im Bf Wien Hütteldorf erfolgte mit einer Zughilfsstraße und der Einschaltung des Ersatzsignals auf dem AS „H 106“. _x000D_
Durch den im Bf Wien Hütteldorf tätigen Fahrdienstleiter in Einschulung wurde auf dem Streckenblock ein Richtungswechsel in der Annahme durchgeführt, diesen für die Fahrt des Z 20592 aus Richtung Bf Wien Penzing zu speichern. Da die Fahrt des Z 20595 mit einer Zughilfsstraße und Ersatzsignal erfolgte, ging vom Bf Wien Hütteldorf kein „Vorblock“ ab, so dass der Richtungspfeil weiterhin gelbes/weißes Dauerlicht zeigte. Der Richtungswechsel erfolgte vor einer Besetzung des betreffenden Gleisabschnittes durch den in Richtung Bf Wien Penzing ausfahrenden Z 20595, so dass auf Grund des nicht deaktivierten Selbststellbetriebes im Bf Wien Penzing das AS „R 6“ für Z 20592 in Richtung des durch Z 20595 besetzten Streckengleises 1 Vo selbsttätig in Freistellung gelangte. 
A disruption of the track clear detection device (red signal) occured in the area of railway switches 41 and 42 at railway station Wien Hütteldorf. Due to this disruption, telephone reporting between railway station Wien Hütteldorf and railway station Wien Penzing was introduced, according to the provisions of regulation ÖBB DV V 3. With the introduction of telephone reporting, train order or acceptance were also required. Train Z 20595 was ordered by the train dispatcher of railway station Wien Hütteldorf to the train dispatcher of railway station Wien Penzing and accepted by the latter. The exit of the train at railway station Wien Hütteldorf was done with an auxiliary route and the activation of a substitute signal on the AS „H 106“. _x000D_
For the  train dispatcher working at railway station Wien Hütteldorf, a change of direction on the section block was undertaken with the acceptance, to save it for the journey of train Z 20592 coming from railway station Wien Penzing. Given the fact that that the journey of Z 20595 was done with an auxiliary route and a substitute signal, there was no ‘’pre-block‘‘ from railway station Wien Hütteldorf, so that the directional indicator continuously showed a yellow/white permanent light. The change of direction followed before train Z 20595 occupied the related track section by driving towards railway station Wien Penzing Z 20595. Therefore, on the basis of a non-activated automatic route calling at railway station Wien Penzing, the AS „R 6“ for train Z 20592 in direction of train Z 20595 which occupied the main track 1 Vo in a released position.",Mismatch,"Emergency management, Monitoring"," 
",Mismatch
84,AT-10006,gemini-2.5-pro,05/12/2020,05/12/2020,Match,23:03,22:57,Mismatch,Austria,Austria,Match,Runaway,Runaway,Match,Sicherheitsuntersuchungsstelle des Bundes,Sicherheitsuntersuchungsstelle des Bundes (NIB AT),Mismatch,"Design, Other static staff factors, Performance relevant factor, Reinforcement, Tools","•        The collision of train Z 2371 and the group of five cars was caused by the car group having run away beforehand. [13]Interviewing the persons in charge revealed thDecember 5, 2020, at 11:03pm UTC+1 (CET).at the car group last moved on track 210 at Lb St during the night of December 2, 2020 to December 3, 2020, at 5:00am. The car group in question then ran away on


•        Although side track 210 at Lb St is protected by a shunting signal on the side facing the station (Wbf), this means of flank protection failed to prevent the car group from running away.
Pursuant to s22,2 and s22,4 of the Austrian Railway Line Construction and Operation Ordinance (Eisenbahnbau- und -betriebsverordnung, EisbBBV), the site of the runaway event requires no further flank protection.
•        According to the information provided by the persons responsible for securing the car group in place, the security devices have possible been removed by unauthorised persons.
Given the 3.69 per mill maximum slope of track 210 at Lb St, the car group concerned is very unlikely to have stayed in place for the above duration without any securing devices.",Mismatch,"Actions to address risks, Safety Policy",Not applicable,Mismatch
85,AT-10006,gemini-2.5-pro,05/12/2020,05/12/2020,Match,23:03,22:57,Mismatch,Austria,Austria,Match,Other accidents to persons involving rolling stock in motion,Runaway,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,Sicherheitsuntersuchungsstelle des Bundes (NIB AT),Mismatch,Tools,"•        The collision of train Z 2371 and the group of five cars was caused by the car group having run away beforehand. [13]Interviewing the persons in charge revealed thDecember 5, 2020, at 11:03pm UTC+1 (CET).at the car group last moved on track 210 at Lb St during the night of December 2, 2020 to December 3, 2020, at 5:00am. The car group in question then ran away on


•        Although side track 210 at Lb St is protected by a shunting signal on the side facing the station (Wbf), this means of flank protection failed to prevent the car group from running away.
Pursuant to s22,2 and s22,4 of the Austrian Railway Line Construction and Operation Ordinance (Eisenbahnbau- und -betriebsverordnung, EisbBBV), the site of the runaway event requires no further flank protection.
•        According to the information provided by the persons responsible for securing the car group in place, the security devices have possible been removed by unauthorised persons.
Given the 3.69 per mill maximum slope of track 210 at Lb St, the car group concerned is very unlikely to have stayed in place for the above duration without any securing devices.",Mismatch,,Not applicable,LLM_Data_Missing
86,AT-10006,gpt-4o-mini,05/12/2020,05/12/2020,Match,23:03,22:57,Mismatch,Austria,Austria,Match,Other accidents to persons involving rolling stock in motion,Runaway,Mismatch,ÖBB-Infrastruktur AG,Sicherheitsuntersuchungsstelle des Bundes (NIB AT),Mismatch,Performance relevant factor,"•        The collision of train Z 2371 and the group of five cars was caused by the car group having run away beforehand. [13]Interviewing the persons in charge revealed thDecember 5, 2020, at 11:03pm UTC+1 (CET).at the car group last moved on track 210 at Lb St during the night of December 2, 2020 to December 3, 2020, at 5:00am. The car group in question then ran away on


•        Although side track 210 at Lb St is protected by a shunting signal on the side facing the station (Wbf), this means of flank protection failed to prevent the car group from running away.
Pursuant to s22,2 and s22,4 of the Austrian Railway Line Construction and Operation Ordinance (Eisenbahnbau- und -betriebsverordnung, EisbBBV), the site of the runaway event requires no further flank protection.
•        According to the information provided by the persons responsible for securing the car group in place, the security devices have possible been removed by unauthorised persons.
Given the 3.69 per mill maximum slope of track 210 at Lb St, the car group concerned is very unlikely to have stayed in place for the above duration without any securing devices.",Mismatch,"Organizational roles, responsibilities, accountabilities and authorities",Not applicable,Mismatch
87,AT-10006,gpt-4o-mini,05/12/2020,05/12/2020,Match,23:03,22:57,Mismatch,Austria,Austria,Match,Collision of train with a train/rail vehicle,Runaway,Mismatch,Safety Investigation Authority of the Federal Government,Sicherheitsuntersuchungsstelle des Bundes (NIB AT),Mismatch,Tools,"•        The collision of train Z 2371 and the group of five cars was caused by the car group having run away beforehand. [13]Interviewing the persons in charge revealed thDecember 5, 2020, at 11:03pm UTC+1 (CET).at the car group last moved on track 210 at Lb St during the night of December 2, 2020 to December 3, 2020, at 5:00am. The car group in question then ran away on


•        Although side track 210 at Lb St is protected by a shunting signal on the side facing the station (Wbf), this means of flank protection failed to prevent the car group from running away.
Pursuant to s22,2 and s22,4 of the Austrian Railway Line Construction and Operation Ordinance (Eisenbahnbau- und -betriebsverordnung, EisbBBV), the site of the runaway event requires no further flank protection.
•        According to the information provided by the persons responsible for securing the car group in place, the security devices have possible been removed by unauthorised persons.
Given the 3.69 per mill maximum slope of track 210 at Lb St, the car group concerned is very unlikely to have stayed in place for the above duration without any securing devices.",Mismatch,Consultation of staff and other parties,Not applicable,Mismatch
88,AT-10188,gemini-2.5-pro,,10/12/2021,LLM_Data_Missing,,12:55,LLM_Data_Missing,Austria,Austria,Match,Level Crossing Accident,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,NIB AT,Mismatch,"Attention, Awareness, Environment, Intentions, Monotony, Other dynamic situational factors","Causal factor
The causal factor for the collision was the simultaneous entry into the level crossing at km 11.771 by the small truck and train 5517.
The driver of the small truck entered the level crossing without sufficiently ascertaining whether a safe crossing is possible by viewing the road bed and attentively listening for any acoustic signals being issued by a rail vehicle in both directions of the track while approaching the crossing. The vehicle was also not stopped at the “stop sign” (mandatory sign “stop” in accordance with Section 2 no. 7 Rail Crossing Ordinance [EisbKrV 2012] and Section 52 no. 24 Road Traffic Act [StVO 1960]) beforehand.

Contributing factor
It was not possible to fully ascertain why the “attention” signal issued by the rail vehicle was not recognised by the driver of the small truck already during the approach to the level crossing, rather not until immediately before the collision, after the small truck had entered the crossing. It is possible that attention was focused at this time on the passenger car to which the driver of the small truck had yielded, causing the driver of the small truck to be distracted but to be unaware of this distraction, and attention may have also been focused on the slippery road conditions.",Mismatch,,Does not apply.,LLM_Data_Missing
89,AT-10188,gemini-2.5-pro,,10/12/2021,LLM_Data_Missing,,12:55,LLM_Data_Missing,Austria,Austria,Match,Level Crossing Accident,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,NIB AT,Mismatch,Attention,"Causal factor
The causal factor for the collision was the simultaneous entry into the level crossing at km 11.771 by the small truck and train 5517.
The driver of the small truck entered the level crossing without sufficiently ascertaining whether a safe crossing is possible by viewing the road bed and attentively listening for any acoustic signals being issued by a rail vehicle in both directions of the track while approaching the crossing. The vehicle was also not stopped at the “stop sign” (mandatory sign “stop” in accordance with Section 2 no. 7 Rail Crossing Ordinance [EisbKrV 2012] and Section 52 no. 24 Road Traffic Act [StVO 1960]) beforehand.

Contributing factor
It was not possible to fully ascertain why the “attention” signal issued by the rail vehicle was not recognised by the driver of the small truck already during the approach to the level crossing, rather not until immediately before the collision, after the small truck had entered the crossing. It is possible that attention was focused at this time on the passenger car to which the driver of the small truck had yielded, causing the driver of the small truck to be distracted but to be unaware of this distraction, and attention may have also been focused on the slippery road conditions.",Mismatch,,Does not apply.,LLM_Data_Missing
90,AT-10188,gpt-4o-mini,26/01/2022,10/12/2021,Mismatch,N/A,12:55,Mismatch,Austria,Austria,Match,Collision of train with obstacle within the clearance gauge,Level crossing accident,Mismatch,Federal Safety Investigation Authority,NIB AT,Mismatch,Attention,"Causal factor
The causal factor for the collision was the simultaneous entry into the level crossing at km 11.771 by the small truck and train 5517.
The driver of the small truck entered the level crossing without sufficiently ascertaining whether a safe crossing is possible by viewing the road bed and attentively listening for any acoustic signals being issued by a rail vehicle in both directions of the track while approaching the crossing. The vehicle was also not stopped at the “stop sign” (mandatory sign “stop” in accordance with Section 2 no. 7 Rail Crossing Ordinance [EisbKrV 2012] and Section 52 no. 24 Road Traffic Act [StVO 1960]) beforehand.

Contributing factor
It was not possible to fully ascertain why the “attention” signal issued by the rail vehicle was not recognised by the driver of the small truck already during the approach to the level crossing, rather not until immediately before the collision, after the small truck had entered the crossing. It is possible that attention was focused at this time on the passenger car to which the driver of the small truck had yielded, causing the driver of the small truck to be distracted but to be unaware of this distraction, and attention may have also been focused on the slippery road conditions.",Mismatch,Monitoring,Does not apply.,Mismatch
91,AT-10188,gpt-4o-mini,26/01/2022,10/12/2021,Mismatch,N/A,12:55,Mismatch,Austria,Austria,Match,Level Crossing Accident involving a train and crossing vehicles,Level crossing accident,Mismatch,Federal Safety Investigation Authority,NIB AT,Mismatch,Attention,"Causal factor
The causal factor for the collision was the simultaneous entry into the level crossing at km 11.771 by the small truck and train 5517.
The driver of the small truck entered the level crossing without sufficiently ascertaining whether a safe crossing is possible by viewing the road bed and attentively listening for any acoustic signals being issued by a rail vehicle in both directions of the track while approaching the crossing. The vehicle was also not stopped at the “stop sign” (mandatory sign “stop” in accordance with Section 2 no. 7 Rail Crossing Ordinance [EisbKrV 2012] and Section 52 no. 24 Road Traffic Act [StVO 1960]) beforehand.

Contributing factor
It was not possible to fully ascertain why the “attention” signal issued by the rail vehicle was not recognised by the driver of the small truck already during the approach to the level crossing, rather not until immediately before the collision, after the small truck had entered the crossing. It is possible that attention was focused at this time on the passenger car to which the driver of the small truck had yielded, causing the driver of the small truck to be distracted but to be unaware of this distraction, and attention may have also been focused on the slippery road conditions.",Mismatch,Information and communication,Does not apply.,Mismatch
92,AT-10189,gemini-2.5-pro,,26/11/2021,LLM_Data_Missing,22:43,11:05,Mismatch,Austria,Austria,Match,Derailment of train,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,NIB AT,Mismatch,"Communication, Fatigue, Performance relevant factor, Reinforcement","Causative factor: The collision of train 6809 with the car was caused by the car entering the level crossing which at that time signalled a stop for road traffic.
Contributing factor: Failure by the car driver to observe the set of lights.",Mismatch,,Not applicable,LLM_Data_Missing
93,AT-10189,gemini-2.5-pro,,26/11/2021,LLM_Data_Missing,,11:05,LLM_Data_Missing,Austria,Austria,Match,Derailment of train,Level crossing accident,Mismatch,Sicherheitsuntersuchungsstelle des Bundes,NIB AT,Mismatch,"Awareness, Communication, Intentions, Pressure, Reinforcement","Causative factor: The collision of train 6809 with the car was caused by the car entering the level crossing which at that time signalled a stop for road traffic.
Contributing factor: Failure by the car driver to observe the set of lights.",Mismatch,,Not applicable,LLM_Data_Missing
94,AT-10189,gpt-4o-mini,09/11/2020,26/11/2021,Mismatch,22:43:39,11:05,Mismatch,Austria,Austria,Match,Derailment of train,Level crossing accident,Mismatch,Federal Safety Investigation Authority,NIB AT,Mismatch,"Communication, Design","Causative factor: The collision of train 6809 with the car was caused by the car entering the level crossing which at that time signalled a stop for road traffic.
Contributing factor: Failure by the car driver to observe the set of lights.",Mismatch,Competence,Not applicable,Mismatch
95,AT-10189,gpt-4o-mini,09/11/2020,26/11/2021,Mismatch,22:43:39,11:05,Mismatch,Austria,Austria,Match,Derailment of train,Level crossing accident,Mismatch,Austrian Rail Safety Authority,NIB AT,Mismatch,Communication,"Causative factor: The collision of train 6809 with the car was caused by the car entering the level crossing which at that time signalled a stop for road traffic.
Contributing factor: Failure by the car driver to observe the set of lights.",Mismatch,Competence,Not applicable,Mismatch
96,AT-10226,gemini-2.5-pro,,09/05/2022,LLM_Data_Missing,18:20,18:20,Match,Austria,Austria,Match,Derailment of train,Train derailment,Mismatch,"Federal Safety Investigation Authority of Austria (Sicherheitsuntersuchungsstelle des Bundes, SUB)",NIB AT,Mismatch,"Awareness, Communication, Pressure","Derailment was caused by track guidance failure because of the train passing points no.2 and no. 1 at excessive speed. Due to expectations, the train driver wrongly perceived the setting of exit signal “H1”, which caused him/her to pass the point section at 145 km/h instead of at 60 km/h. 

Traffic control failed to inform the train driver of the temporarily set route and switching via GSM-R train radio. This is considered a systemic factor because a piece of information was withheld, although the Standard Operating Procedure (SOP) on deviation management includes a provision to this effect. The SUB assumes that this provision is not duly considered as safety-related and is therefore not consistently observed, not least since deviation management is not primarily safety-oriented. Knowing this piece of information might have prevented the train driver’s expectations. Exit signal “H1” can hardly be perceived wrongly, particularly if you know that you are driving up to a point. 

The design of the automatic train control (ATC) system run at the infrastructural end failed to prevent the train from passing exit signal “H1” at excessive speed already while accelerating further after that point. The ATC system therefore also failed to automatically stop the train. Between the end of the monitoring section at 1000 Hz and the section including points no. 2 and no. 1, there was no technical means of monitoring the train. The design of the ATC system run at the infrastructural end may also be seen as a systemic factor because it may cause similar effects on other trips. Also, similar situations may occur at other stations.

Other causal factors of the accident event are that a red light on block section “f51” was recognised too late and/or that the red light situation was handled too late. Had the red light been recognised and the ensuing clear track signal of the train ahead been collected in due time, a contingency measure like setting a route along the opposite track and monitoring its safety at and after exit signal “H1” would not have been necessary.
The cause of the red light having been recognised too late is assessed as a systemic factor, this cause being the fact that the traffic managers at the signalling control centres have to accept more and more scope of responsibility, such that they cannot continuously supervise the entire scope. Although there are technical limitations and organisational restrictions to the areas of responsibility, they are unable to prevent these areas from being expanded. Therefore, we may not expect a red light to be recognised immediately, unless it is supported by an acoustic or optical signal.",Mismatch,"Learning from accidents and incidents, Operational planning and control, Safety Policy","The large distance of 1667 m between the advance signal and both the advance exit signal “h” and the exit signal “H1” is a factor that contributed to the accident. Due to this large distance and the lack of technical means of monitoring, the train driver was able to accelerate the train after the 1000 Hz speed monitoring section and while approaching exist signal “H1” (394 m). Had the advance signal been closer to both signals, the train may still have derailed, but the consequences might have been less serious at a lower train speed at the point of derailment. The large distance to the advance signal may be seen as a systemic factor because it may cause similar effects on other trips. Large distances to advance signals and their safety-related effects on trips may also be found at other stations.",Mismatch
97,AT-10226,gemini-2.5-pro,,09/05/2022,LLM_Data_Missing,18:20,18:20,Match,Austria,Austria,Match,Derailment of train,Train derailment,Mismatch,Federal Safety Investigation Authority of Austria,NIB AT,Mismatch,"Awareness, Communication, Pressure","Derailment was caused by track guidance failure because of the train passing points no.2 and no. 1 at excessive speed. Due to expectations, the train driver wrongly perceived the setting of exit signal “H1”, which caused him/her to pass the point section at 145 km/h instead of at 60 km/h. 

Traffic control failed to inform the train driver of the temporarily set route and switching via GSM-R train radio. This is considered a systemic factor because a piece of information was withheld, although the Standard Operating Procedure (SOP) on deviation management includes a provision to this effect. The SUB assumes that this provision is not duly considered as safety-related and is therefore not consistently observed, not least since deviation management is not primarily safety-oriented. Knowing this piece of information might have prevented the train driver’s expectations. Exit signal “H1” can hardly be perceived wrongly, particularly if you know that you are driving up to a point. 

The design of the automatic train control (ATC) system run at the infrastructural end failed to prevent the train from passing exit signal “H1” at excessive speed already while accelerating further after that point. The ATC system therefore also failed to automatically stop the train. Between the end of the monitoring section at 1000 Hz and the section including points no. 2 and no. 1, there was no technical means of monitoring the train. The design of the ATC system run at the infrastructural end may also be seen as a systemic factor because it may cause similar effects on other trips. Also, similar situations may occur at other stations.

Other causal factors of the accident event are that a red light on block section “f51” was recognised too late and/or that the red light situation was handled too late. Had the red light been recognised and the ensuing clear track signal of the train ahead been collected in due time, a contingency measure like setting a route along the opposite track and monitoring its safety at and after exit signal “H1” would not have been necessary.
The cause of the red light having been recognised too late is assessed as a systemic factor, this cause being the fact that the traffic managers at the signalling control centres have to accept more and more scope of responsibility, such that they cannot continuously supervise the entire scope. Although there are technical limitations and organisational restrictions to the areas of responsibility, they are unable to prevent these areas from being expanded. Therefore, we may not expect a red light to be recognised immediately, unless it is supported by an acoustic or optical signal.",Mismatch,"Operational planning and control, Other improvement, Safety Policy","The large distance of 1667 m between the advance signal and both the advance exit signal “h” and the exit signal “H1” is a factor that contributed to the accident. Due to this large distance and the lack of technical means of monitoring, the train driver was able to accelerate the train after the 1000 Hz speed monitoring section and while approaching exist signal “H1” (394 m). Had the advance signal been closer to both signals, the train may still have derailed, but the consequences might have been less serious at a lower train speed at the point of derailment. The large distance to the advance signal may be seen as a systemic factor because it may cause similar effects on other trips. Large distances to advance signals and their safety-related effects on trips may also be found at other stations.",Mismatch
98,AT-10226,gpt-4o-mini,14/10/2023,09/05/2022,Mismatch,18:20,18:20,Match,Austria,Austria,Match,Derailment of train,Train derailment,Mismatch,Federal Safety Investigation Authority of Austria,NIB AT,Mismatch,Performance relevant factor,"Derailment was caused by track guidance failure because of the train passing points no.2 and no. 1 at excessive speed. Due to expectations, the train driver wrongly perceived the setting of exit signal “H1”, which caused him/her to pass the point section at 145 km/h instead of at 60 km/h. 

Traffic control failed to inform the train driver of the temporarily set route and switching via GSM-R train radio. This is considered a systemic factor because a piece of information was withheld, although the Standard Operating Procedure (SOP) on deviation management includes a provision to this effect. The SUB assumes that this provision is not duly considered as safety-related and is therefore not consistently observed, not least since deviation management is not primarily safety-oriented. Knowing this piece of information might have prevented the train driver’s expectations. Exit signal “H1” can hardly be perceived wrongly, particularly if you know that you are driving up to a point. 

The design of the automatic train control (ATC) system run at the infrastructural end failed to prevent the train from passing exit signal “H1” at excessive speed already while accelerating further after that point. The ATC system therefore also failed to automatically stop the train. Between the end of the monitoring section at 1000 Hz and the section including points no. 2 and no. 1, there was no technical means of monitoring the train. The design of the ATC system run at the infrastructural end may also be seen as a systemic factor because it may cause similar effects on other trips. Also, similar situations may occur at other stations.

Other causal factors of the accident event are that a red light on block section “f51” was recognised too late and/or that the red light situation was handled too late. Had the red light been recognised and the ensuing clear track signal of the train ahead been collected in due time, a contingency measure like setting a route along the opposite track and monitoring its safety at and after exit signal “H1” would not have been necessary.
The cause of the red light having been recognised too late is assessed as a systemic factor, this cause being the fact that the traffic managers at the signalling control centres have to accept more and more scope of responsibility, such that they cannot continuously supervise the entire scope. Although there are technical limitations and organisational restrictions to the areas of responsibility, they are unable to prevent these areas from being expanded. Therefore, we may not expect a red light to be recognised immediately, unless it is supported by an acoustic or optical signal.",Mismatch,"Information and communication, Learning from accidents and incidents, Monitoring","The large distance of 1667 m between the advance signal and both the advance exit signal “h” and the exit signal “H1” is a factor that contributed to the accident. Due to this large distance and the lack of technical means of monitoring, the train driver was able to accelerate the train after the 1000 Hz speed monitoring section and while approaching exist signal “H1” (394 m). Had the advance signal been closer to both signals, the train may still have derailed, but the consequences might have been less serious at a lower train speed at the point of derailment. The large distance to the advance signal may be seen as a systemic factor because it may cause similar effects on other trips. Large distances to advance signals and their safety-related effects on trips may also be found at other stations.",Mismatch
